Team,Team Name,Event,OPR,Auto OPR,Auto Cones,Auto Nav,TeleOp OPR,TeleOp Cones,TeleOp Junctions,EndGame OPR,Junctions Owned,Circuits
4100,Darbots 1,Georgia GA Etowah Meet 2 11/12/22,101.2,21.1,1.5,15.7,35.6,9.2,7.7,44.6,7.6,0.7
4100,Darbots 1,Georgia GA Etowah Meet 3 11/12/22,90.1,24.9,3.0,13.9,43.5,11.3,8.3,21.7,7.2,0.0
14116,Walker - Information Overload,Georgia GA Atlanta Meet 3 11/12/22,87.2,25.1,0.3,23.1,38.5,8.0,3.9,23.6,4.5,0.1
14393,Packer Robotics,Georgia GA Albany Meet 2 11/12/22,86.0,16.0,0.0,16.1,27.8,6.4,5.5,42.2,6.1,0.8
16633,Bots in Black,Georgia GA Atlanta Meet 3 11/12/22,81.1,18.0,0.8,14.2,33.0,7.6,5.5,30.1,5.6,0.3
18557,The Operators,Georgia GA Atlanta Meet 3 11/12/22,80.5,20.6,0.6,18.7,27.2,6.4,6.1,32.7,5.9,0.5
18434,East Jackson Blue Eagles,Georgia GA Jackson Meet 2 11/12/22,78.3,24.9,0.8,20.0,38.1,8.0,2.9,15.3,3.5,0.0
1002,CircuitRunners Robotics - Surge,Georgia GA Marietta Meet 2 11/12/22,65.0,16.4,1.1,11.6,21.3,4.6,4.4,27.3,4.3,0.4
18556,The Outlets,Georgia GA Atlanta Meet 3 11/12/22,71.8,15.5,0.8,13.2,28.3,7.3,5.3,28.0,4.8,0.5
19571,The Robo Brigade,Georgia GA Marietta Meet 2 11/12/22,71.9,19.8,2.8,8.9,29.0,7.0,4.9,23.0,4.4,0.3
15173,Robotic Eagles,Georgia GA Marietta Meet 2 11/12/22,70.3,25.3,0.0,25.3,23.4,5.5,4.9,21.6,4.6,0.3
19998,Cristo Rey Flames/Delta CU,Georgia GA Atlanta Meet 3 11/12/22,63.1,11.3,0.0,11.1,24.7,7.2,5.6,27.1,5.5,0.2
7373,Eagle Robotics - Carbon Fiber,Georgia GA Etowah Meet 3 11/12/22,57.9,12.0,0.0,11.9,24.4,7.4,6.2,21.5,5.4,0.0
11347,CircuitRunners Robotics - Blackout,Georgia GA Marietta Meet 2 11/12/22,64.1,13.3,0.0,13.3,22.9,5.8,5.7,28.0,5.7,0.5
11364,Eagle Robotics - Diamond Plate,Georgia GA Etowah Meet 3 11/12/22,60.7,19.6,0.0,19.5,23.7,5.7,4.9,17.4,3.8,0.1
17421,East Jackson Eagles,Georgia GA Jackson Meet 1 11/12/22,54.1,6.3,0.5,4.2,37.2,8.3,3.2,10.7,3.1,0.0
7373,Eagle Robotics - Carbon Fiber,Georgia GA Etowah Meet 2 11/12/22,56.2,24.9,0.5,23.2,14.9,4.3,4.2,16.5,3.9,0.0
14470,Cascade Robotics,Georgia GA Atlanta Meet 3 11/12/22,55.5,7.0,0.4,4.5,21.9,5.7,5.5,26.5,5.4,0.1
18434,East Jackson Blue Eagles,Georgia GA Jackson Meet 1 11/12/22,57.6,15.8,1.1,9.6,27.8,6.8,4.3,14.0,4.4,0.0
14468,Dragons,Georgia GA Atlanta Meet 3 11/12/22,53.2,18.5,0.0,18.4,16.1,3.4,1.9,18.5,2.0,0.1
15156,KOI,Georgia GA Atlanta Meet 3 11/12/22,52.6,15.0,0.1,14.5,23.0,4.7,2.1,14.6,2.0,0.1
18553,Samantha,Georgia GA Atlanta Meet 3 11/12/22,51.3,21.2,0.2,19.3,16.2,3.9,3.1,13.9,2.8,0.1
6047,Twisted Axles,Georgia GA Etowah Meet 3 11/12/22,52.8,12.1,0.8,7.9,20.1,4.5,3.4,20.6,3.4,0.3
16631,The Phantoms,Georgia GA Atlanta Meet 3 11/12/22,50.9,10.9,0.1,10.2,20.5,4.8,4.3,19.6,3.6,0.3
12694,Autopilot,Georgia GA Atlanta Meet 3 11/12/22,51.4,13.8,0.0,14.3,20.4,4.9,4.5,17.1,4.2,0.0
11364,Eagle Robotics - Diamond Plate,Georgia GA Etowah Meet 2 11/12/22,50.1,22.7,0.0,22.2,14.2,3.4,3.1,13.3,3.0,0.1
13245,Arcturus,Georgia GA Marietta Meet 2 11/12/22,41.9,13.7,0.0,13.8,19.5,4.0,1.9,8.8,2.0,0.0
22023,System Overload Surgeons,Georgia GA Atlanta Meet 3 11/12/22,49.3,12.0,0.6,10.5,18.1,4.3,4.1,19.2,4.1,0.1
14100,High Voltage,Georgia GA Atlanta Meet 3 11/12/22,45.5,12.9,0.1,12.6,28.0,5.7,1.6,4.6,1.3,0.0
17421,East Jackson Eagles,Georgia GA Jackson Meet 2 11/12/22,45.1,5.2,0.5,2.5,33.2,7.1,2.5,6.7,2.5,0.0
12689,The Sparks,Georgia GA Atlanta Meet 3 11/12/22,41.3,25.2,0.3,23.9,10.7,2.6,2.4,5.4,1.9,0.0
10068,Duct-Ties & Zip-Tape,Georgia GA Etowah Meet 3 11/12/22,40.7,9.7,0.6,7.6,20.2,5.1,4.1,10.8,3.2,0.0
18520,CKSROBOTICS,Georgia GA Atlanta Meet 3 11/12/22,35.2,25.2,0.0,25.5,5.1,0.9,0.8,4.9,0.7,0.0
16346,Walker - The Notorious B.O.T.,Georgia GA Atlanta Meet 3 11/12/22,36.9,20.0,0.4,19.4,8.3,2.3,2.2,8.7,1.9,0.2
19987,Black Screen of Death,Georgia GA Marietta Meet 2 11/12/22,34.3,14.0,0.0,13.9,11.6,3.9,4.2,8.7,3.3,0.0
6047,Twisted Axles,Georgia GA Etowah Meet 2 11/12/22,34.8,7.2,0.2,5.3,10.3,2.2,2.2,17.4,2.4,0.3
14471,Narly Narwhals,Georgia GA Atlanta Meet 3 11/12/22,33.2,15.9,0.3,14.5,7.5,2.3,2.6,9.8,2.3,0.0
18597,RoboClovers,Georgia GA Jackson Meet 1 11/12/22,30.3,5.2,0.0,6.3,11.7,3.2,2.7,13.4,2.3,0.1
18597,RoboClovers,Georgia GA Jackson Meet 2 11/12/22,32.1,7.8,0.0,9.2,11.7,3.3,4.0,12.6,3.9,0.0
9686,Raiders of the ARC- Black,Georgia GA Marietta Meet 2 11/12/22,22.0,0.0,0.0,0.0,12.2,2.2,1.5,9.8,1.6,0.0
16632,RackenPigeons,Georgia GA Atlanta Meet 3 11/12/22,29.8,9.3,0.1,9.1,14.6,3.6,2.2,5.9,1.8,0.0
7153,Vindicem,Georgia GA Etowah Meet 2 11/12/22,25.3,2.8,0.6,0.7,9.5,2.2,2.0,12.9,2.1,0.2
3819,Green RoboDragons,Georgia GA Jackson Meet 1 11/12/22,20.8,3.1,0.3,2.0,12.6,3.1,1.7,5.1,1.7,0.0
12864,Raiders of the ARC- Crimson,Georgia GA Marietta Meet 2 11/12/22,17.4,4.4,0.0,5.0,5.3,0.5,0.9,7.7,0.9,0.2
18554,Lilac Leopards,Georgia GA Atlanta Meet 3 11/12/22,25.3,14.7,0.0,15.1,4.5,0.9,1.1,6.1,1.3,0.1
21721,RoboClovers JV,Georgia GA Jackson Meet 1 11/12/22,25.5,2.6,0.0,1.2,9.4,2.8,2.7,13.6,2.7,0.1
2993,Blue RoboDragons,Georgia GA Jackson Meet 2 11/12/22,23.6,1.1,0.2,0.1,10.4,3.6,3.7,12.1,3.7,0.0
17379,Romebotics,Georgia GA Etowah Meet 2 11/12/22,24.6,0.0,0.0,0.0,10.5,3.3,3.1,14.1,2.7,0.1
16838,Walker - NerdZ,Georgia GA Atlanta Meet 3 11/12/22,22.7,5.3,0.0,5.2,7.6,1.4,1.3,9.9,1.6,0.0
112,RoboKnights Team 112,Georgia GA Atlanta Meet 3 11/12/22,23.2,5.8,0.0,5.8,12.3,2.3,1.4,5.0,0.4,0.0
17456,Atlantis,Georgia GA Marietta Meet 2 11/12/22,22.5,2.7,0.3,1.1,10.6,1.7,1.2,9.2,1.1,0.1
10219,Batteries Not Included,Georgia GA Marietta Meet 2 11/12/22,21.9,8.4,0.0,8.1,7.6,1.6,0.8,5.9,1.0,0.0
16345,Walker - Uncommon Sense,Georgia GA Atlanta Meet 3 11/12/22,23.9,16.5,0.0,16.7,0.0,0.3,0.7,7.4,1.2,0.0
12687,The Screwdrivers,Georgia GA Atlanta Meet 3 11/12/22,20.9,0.5,0.0,0.9,12.4,2.7,1.9,8.0,1.4,0.1
4232,Energizer Bunnies,Georgia GA Atlanta Meet 3 11/12/22,20.6,6.5,0.1,5.9,4.6,1.0,1.6,9.5,1.9,0.1
3819,Green RoboDragons,Georgia GA Jackson Meet 2 11/12/22,19.1,1.1,0.0,0.7,13.1,3.1,1.6,4.8,1.3,0.0
18009,AGS Eye of the Storm,Georgia GA Marietta Meet 2 11/12/22,17.6,0.0,0.0,0.0,6.7,1.8,2.0,10.9,1.7,0.2
15292,RoboKnights Team 15292,Georgia GA Atlanta Meet 3 11/12/22,17.7,4.7,0.0,4.3,4.4,1.0,1.2,8.6,1.3,0.1
6989,Spartans,Georgia GA Atlanta Meet 3 11/12/22,15.9,1.7,0.0,1.5,6.1,1.8,1.8,8.0,1.5,0.0
5979,CyberStingers Blue,Georgia GA Albany Meet 2 11/12/22,15.2,0.0,0.0,0.0,6.0,2.6,2.6,9.2,2.6,0.0
18014,Empower 1,Georgia GA Jackson Meet 2 11/12/22,14.5,2.1,0.0,1.6,4.4,1.6,1.4,8.0,1.8,0.0
21721,RoboClovers JV,Georgia GA Jackson Meet 2 11/12/22,14.5,1.5,0.0,1.7,7.7,2.8,2.6,5.4,1.6,0.0
15290,RoboKnights 15290,Georgia GA Atlanta Meet 3 11/12/22,15.4,1.9,0.0,1.6,6.4,1.7,1.9,7.0,2.0,0.0
14821,Team Rocket,Georgia GA Atlanta Meet 3 11/12/22,15.9,9.8,0.1,9.4,6.0,2.0,2.3,0.0,1.2,0.0
19899,Walker - Information Overload[2],Georgia GA Atlanta Meet 3 11/12/22,15.8,6.1,0.0,6.9,8.5,2.6,1.3,1.3,1.2,0.0
14101,The Thunderbirds,Georgia GA Atlanta Meet 3 11/12/22,12.8,9.0,0.0,9.5,3.0,1.0,0.2,0.9,0.4,0.0
21628,CKSROBOTICS2,Georgia GA Atlanta Meet 3 11/12/22,14.9,4.2,0.1,3.8,6.3,2.1,2.3,4.4,1.9,0.0
525,Success,Georgia GA Atlanta Meet 3 11/12/22,14.4,3.4,0.0,3.4,5.8,1.6,1.6,5.2,1.4,0.0
10068,Duct-Ties & Zip-Tape,Georgia GA Etowah Meet 2 11/12/22,15.9,2.5,0.2,1.7,8.8,1.3,1.0,4.6,1.2,0.0
21183,Walton Robotics - RED,Georgia GA Marietta Meet 2 11/12/22,19.0,6.2,0.0,5.8,5.7,0.4,0.2,7.1,0.7,0.1
2993,Blue RoboDragons,Georgia GA Jackson Meet 1 11/12/22,7.3,1.0,0.2,0.0,4.6,1.3,0.9,1.7,0.8,0.0
11750,Bellatorum,Georgia GA Etowah Meet 3 11/12/22,11.1,0.0,0.1,0.0,4.1,0.7,1.0,7.0,0.9,0.1
16796,Red Robodragons,Georgia GA Jackson Meet 2 11/12/22,11.6,1.2,0.3,0.0,8.3,1.8,0.6,2.1,0.0,0.0
17379,Romebotics,Georgia GA Etowah Meet 3 11/12/22,12.6,0.0,0.0,0.0,5.4,1.5,1.5,7.3,1.4,0.0
16906,Cristo Rey Flames II - Kingsfield,Georgia GA Atlanta Meet 3 11/12/22,7.1,0.0,0.0,0.0,0.9,0.3,0.2,6.1,0.7,0.0
16282,Bot Bytes the Rust,Georgia GA Atlanta Meet 3 11/12/22,7.6,4.1,0.0,5.0,2.8,1.1,1.1,0.8,0.8,0.0
